#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T07:39:39.330288309Z,128.65,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T07:45:00.049835389Z,128.63,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T07:50:20.769222601Z,128.6,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T07:55:41.516064217Z,128.51,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T08:01:02.195401271Z,128.54,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T08:06:22.906445883Z,128.61,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T08:11:43.72318989Z,128.59,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T08:17:04.283128412Z,128.63,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T08:22:25.05313947Z,128.49,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
,,0,2024-06-21T07:00:00Z,2024-06-26T12:12:02.771Z,2024-06-21T08:27:45.845824031Z,128.63,noise,corso_IoT,ESP_MONTANARI,Sassocorvaro,kitchen
